simulation_id,timestamp,node_id,cpu,memory,battery,rssi,packet_loss,latency,throughput,queue_size,traffic_load,link_quality,mobility_speed
35,0,1,4.998648,0.000000,100.000000,24.086601,0.759134,50.825431,0.000000,0,0.000000,0.240866,1.760948
35,0,2,1.357250,0.000000,100.000000,16.559666,0.834403,56.826384,0.000000,0,0.000000,0.165597,4.414506
35,0,3,1.117980,0.000000,100.000000,8.870203,0.911298,62.964943,0.000000,0,0.000000,0.088702,3.953289
35,0,4,0.000000,0.670392,100.000000,10.807469,0.891925,61.417205,0.000000,0,481.000000,0.108075,6.030497
35,0,5,1.673204,2.894786,100.000000,18.655579,0.813444,55.155487,0.000000,1,459.000000,0.186556,9.434349
35,0,6,0.616801,0.000000,100.000000,23.823261,0.761767,51.046684,0.000000,0,0.000000,0.238233,6.511675
35,0,7,0.000000,0.000000,100.000000,17.743906,0.822561,55.901248,0.000000,0,0.000000,0.177439,8.286927
35,0,8,0.000000,0.359990,100.000000,14.258196,0.857418,58.664026,0.000000,0,0.000000,0.142582,9.902659
35,0,9,3.330768,2.147787,100.000000,15.948218,0.840518,57.314012,0.000000,1,1401.000000,0.159482,1.194532
35,0,10,0.587625,0.000000,100.000000,10.807469,0.891925,61.417205,0.000000,0,1982.000000,0.108075,3.679274
35,1,1,4.442957,1.314294,100.000000,23.675699,0.763243,51.152718,0.000000,0,0.000000,0.236757,1.760948
35,1,2,0.000000,2.761907,100.000000,16.868391,0.831316,56.579918,1.000000,2,1230.000000,0.168684,4.414506
35,1,3,0.000000,0.000000,100.000000,8.872905,0.911271,62.962804,0.000000,0,0.000000,0.088729,3.953289
35,1,4,0.333502,1.639717,100.000000,11.473372,0.885266,60.885558,0.000000,0,0.000000,0.114734,6.030497
35,1,5,0.000000,0.651761,100.000000,18.373720,0.816263,55.380171,1.000000,0,0.000000,0.183737,9.434349
35,1,6,0.000000,1.644690,100.000000,24.039182,0.759608,50.879686,0.000000,0,1170.000000,0.240392,6.511675
35,1,7,0.000000,0.062961,100.000000,18.051596,0.819484,55.661432,0.000000,0,0.000000,0.180516,8.286927
35,1,8,0.000000,0.407543,100.000000,15.002786,0.849972,58.069141,0.000000,0,0.000000,0.150028,9.902659
35,1,9,0.000000,4.132782,100.000000,15.774920,0.842251,57.452254,0.000000,2,1975.000000,0.157749,1.194532
35,1,10,0.579700,0.000000,100.000000,11.473372,0.885266,60.885558,0.000000,0,0.000000,0.114734,3.679274
35,2,1,2.786116,0.630518,100.000000,22.725592,0.772744,51.909645,0.000000,0,0.000000,0.227256,1.760948
